CITY,UF,IGR,CITY_STANDARD
Santa Terezinha,SC,Rio do Sul,SANTA TEREZINHA
Santa Terezinha do Progresso,SC,Maravilha,SANTA TEREZINHA DO PROGRESSO
Santiago do Sul,SC,Chapecó,SANTIAGO DO SUL
Santo Amaro da Imperatriz,SC,Florianópolis,SANTO AMARO DA IMPERATRIZ
São Bento do Sul,SC,São Bento do Sul - Rio Negrinho,SAO BENTO DO SUL
São Bernardino,SC,São Lourenço do Oeste,SAO BERNARDINO
São Bonifácio,SC,Florianópolis,SAO BONIFACIO
São Carlos,SC,Chapecó,SAO CARLOS
São Cristóvão do Sul,SC,Curitibanos,SAO CRISTOVAO DO SUL
São Domingos,SC,Xanxerê,SAO DOMINGOS
São Francisco do Sul,SC,Joinville,SAO FRANCISCO DO SUL
São João Batista,SC,Brusque,SAO JOAO BATISTA
São João do Itaperiú,SC,Joinville,SAO JOAO DO ITAPERIU
São João do Oeste,SC,São Miguel do Oeste,SAO JOAO DO OESTE
São João do Sul,SC,Araranguá,SAO JOAO DO SUL
São Joaquim,SC,Lages,SAO JOAQUIM
São José,SC,Florianópolis,SAO JOSE
São José do Cedro,SC,São Miguel do Oeste,SAO JOSE DO CEDRO
São José do Cerrito,SC,Lages,SAO JOSE DO CERRITO
São Lourenço do Oeste,SC,São Lourenço do Oeste,SAO LOURENCO DO OESTE
São Ludgero,SC,Tubarão,SAO LUDGERO
São Martinho,SC,Tubarão,SAO MARTINHO
São Miguel da Boa Vista,SC,Maravilha,SAO MIGUEL DA BOA VISTA
São Miguel do Oeste,SC,São Miguel do Oeste,SAO MIGUEL DO OESTE
São Pedro de Alcântara,SC,Florianópolis,SAO PEDRO DE ALCANTARA
Saudades,SC,Chapecó,SAUDADES
Schroeder,SC,Joinville,SCHROEDER
Seara,SC,Concórdia,SEARA
Serra Alta,SC,Chapecó,SERRA ALTA
Siderópolis,SC,Criciúma,SIDEROPOLIS
Sombrio,SC,Araranguá,SOMBRIO
Sul Brasil,SC,Chapecó,SUL BRASIL
Taió,SC,Rio do Sul,TAIO
Tangará,SC,Videira,TANGARA
Tigrinhos,SC,Maravilha,TIGRINHOS
Tijucas,SC,Itajaí,TIJUCAS
Timbé do Sul,SC,Araranguá,TIMBE DO SUL
Timbó,SC,Blumenau,TIMBO
Timbó Grande,SC,Caçador,TIMBO GRANDE
Três Barras,SC,Mafra,TRES BARRAS
Treviso,SC,Criciúma,TREVISO
Treze de Maio,SC,Tubarão,TREZE DE MAIO
Treze Tílias,SC,Joaçaba - Herval d'Oeste,TREZE TILIAS
Trombudo Central,SC,Rio do Sul,TROMBUDO CENTRAL
Tubarão,SC,Tubarão,TUBARAO
Tunápolis,SC,São Miguel do Oeste,TUNAPOLIS
Turvo,SC,Araranguá,TURVO
União do Oeste,SC,Chapecó,UNIAO DO OESTE
Urubici,SC,Lages,URUBICI
Urupema,SC,Lages,URUPEMA
Urussanga,SC,Criciúma,URUSSANGA
Vargeão,SC,Xanxerê,VARGEAO
Vargem,SC,Joaçaba - Herval d'Oeste,VARGEM
Vargem Bonita,SC,Joaçaba - Herval d'Oeste,VARGEM BONITA
Vidal Ramos,SC,Ituporanga,VIDAL RAMOS
Videira,SC,Videira,VIDEIRA
Vitor Meireles,SC,Ibirama - Presidente Getúlio,VITOR MEIRELES
Witmarsum,SC,Ibirama - Presidente Getúlio,WITMARSUM
Xanxerê,SC,Xanxerê,XANXERE
Xavantina,SC,Xanxerê,XAVANTINA
Xaxim,SC,Chapecó,XAXIM
Zortéa,SC,Joaçaba - Herval d'Oeste,ZORTEA
Aceguá,RS,Bagé,ACEGUA
Água Santa,RS,Tapejara - Sananduva,AGUA SANTA
Agudo,RS,Santa Maria,AGUDO
Ajuricaba,RS,Ijuí,AJURICABA
Alecrim,RS,Santa Rosa,ALECRIM
Alegrete,RS,Uruguaiana,ALEGRETE
Alegria,RS,Três de Maio,ALEGRIA
Almirante Tamandaré do Sul,RS,Carazinho,ALMIRANTE TAMANDARE DO SUL
Alpestre,RS,Nonoai,ALPESTRE
Alto Alegre,RS,Passo Fundo,ALTO ALEGRE
Alto Feliz,RS,Caxias do Sul,ALTO FELIZ
Alvorada,RS,Porto Alegre,ALVORADA
Amaral Ferrador,RS,Camaquã,AMARAL FERRADOR
Ametista do Sul,RS,Frederico Westphalen,AMETISTA DO SUL
André da Rocha,RS,Nova Prata - Guaporé,ANDRE DA ROCHA
Anta Gorda,RS,Encantado,ANTA GORDA
Antônio Prado,RS,Caxias do Sul,ANTONIO PRADO
Arambaré,RS,Camaquã,ARAMBARE
Araricá,RS,Novo Hamburgo - São Leopoldo,ARARICA
Aratiba,RS,Erechim,ARATIBA
Arroio do Meio,RS,Lajeado,ARROIO DO MEIO
Arroio do Padre,RS,Pelotas,ARROIO DO PADRE
Arroio do Sal,RS,Torres,ARROIO DO SAL
Arroio do Tigre,RS,Sobradinho,ARROIO DO TIGRE
Arroio dos Ratos,RS,Porto Alegre,ARROIO DOS RATOS
Arroio Grande,RS,Pelotas,ARROIO GRANDE
Arvorezinha,RS,Soledade,ARVOREZINHA
Augusto Pestana,RS,Ijuí,AUGUSTO PESTANA
Áurea,RS,Erechim,AUREA
Bagé,RS,Bagé,BAGE
Balneário Pinhal,RS,Tramandaí - Osório,BALNEARIO PINHAL
Barão,RS,Bento Gonçalves,BARAO
Barão de Cotegipe,RS,Erechim,BARAO DE COTEGIPE
Barão do Triunfo,RS,Porto Alegre,BARAO DO TRIUNFO
Barra do Guarita,RS,Três Passos,BARRA DO GUARITA
Barra do Quaraí,RS,Uruguaiana,BARRA DO QUARAI
Barra do Ribeiro,RS,Porto Alegre,BARRA DO RIBEIRO
Barra do Rio Azul,RS,Erechim,BARRA DO RIO AZUL
Barra Funda,RS,Carazinho,BARRA FUNDA
Barracão,RS,Lagoa Vermelha,BARRACAO
Barros Cassal,RS,Soledade,BARROS CASSAL
Benjamin Constant do Sul,RS,Erechim,BENJAMIN CONSTANT DO SUL
Bento Gonçalves,RS,Bento Gonçalves,BENTO GONCALVES
Boa Vista das Missões,RS,Frederico Westphalen,BOA VISTA DAS MISSOES
Boa Vista do Buricá,RS,Três de Maio,BOA VISTA DO BURICA
Boa Vista do Cadeado,RS,Cruz Alta,BOA VISTA DO CADEADO
Boa Vista do Incra,RS,Cruz Alta,BOA VISTA DO INCRA
Boa Vista do Sul,RS,Bento Gonçalves,BOA VISTA DO SUL
Bom Jesus,RS,Vacaria,BOM JESUS
Bom Princípio,RS,Novo Hamburgo - São Leopoldo,BOM PRINCIPIO
Bom Progresso,RS,Três Passos,BOM PROGRESSO
Bom Retiro do Sul,RS,Lajeado,BOM RETIRO DO SUL
Boqueirão do Leão,RS,Lajeado,BOQUEIRAO DO LEAO
Bossoroca,RS,São Luiz Gonzaga,BOSSOROCA
Bozano,RS,Ijuí,BOZANO
Braga,RS,Três Passos,BRAGA
Brochier,RS,Montenegro,BROCHIER
Butiá,RS,Charqueadas - Triunfo - São Jerônimo,BUTIA
Caçapava do Sul,RS,São Gabriel - Caçapava do Sul,CACAPAVA DO SUL
Cacequi,RS,Santa Maria,CACEQUI
Cachoeira do Sul,RS,Cachoeira do Sul,CACHOEIRA DO SUL
Cachoeirinha,RS,Porto Alegre,CACHOEIRINHA
Cacique Doble,RS,Lagoa Vermelha,CACIQUE DOBLE
Caibaté,RS,São Luiz Gonzaga,CAIBATE
Caiçara,RS,Frederico Westphalen,CAICARA
Camaquã,RS,Camaquã,CAMAQUA
Camargo,RS,Marau,CAMARGO
Cambará do Sul,RS,Caxias do Sul,CAMBARA DO SUL
Campestre da Serra,RS,Caxias do Sul,CAMPESTRE DA SERRA
Campina das Missões,RS,Santa Rosa,CAMPINA DAS MISSOES
Campinas do Sul,RS,Erechim,CAMPINAS DO SUL
Campo Bom,RS,Novo Hamburgo - São Leopoldo,CAMPO BOM
Campo Novo,RS,Três Passos,CAMPO NOVO
Campos Borges,RS,Passo Fundo,CAMPOS BORGES
Candelária,RS,Santa Cruz do Sul,CANDELARIA
Cândido Godói,RS,Santa Rosa,CANDIDO GODOI
Candiota,RS,Bagé,CANDIOTA
Canela,RS,Caxias do Sul,CANELA
Canguçu,RS,Pelotas,CANGUCU
Canoas,RS,Porto Alegre,CANOAS
Canudos do Vale,RS,Lajeado,CANUDOS DO VALE
Capão Bonito do Sul,RS,Lagoa Vermelha,CAPAO BONITO DO SUL
Capão da Canoa,RS,Tramandaí - Osório,CAPAO DA CANOA
Capão do Cipó,RS,Santiago,CAPAO DO CIPO
Capão do Leão,RS,Pelotas,CAPAO DO LEAO
Capela de Santana,RS,Novo Hamburgo - São Leopoldo,CAPELA DE SANTANA
Capitão,RS,Lajeado,CAPITAO
Capivari do Sul,RS,Porto Alegre,CAPIVARI DO SUL
Caraá,RS,Porto Alegre,CARAA
Carazinho,RS,Carazinho,CARAZINHO
Carlos Barbosa,RS,Bento Gonçalves,CARLOS BARBOSA
Carlos Gomes,RS,Erechim,CARLOS GOMES
Casca,RS,Marau,CASCA
Caseiros,RS,Lagoa Vermelha,CASEIROS
Catuípe,RS,Ijuí,CATUIPE
Caxias do Sul,RS,Caxias do Sul,CAXIAS DO SUL
Centenário,RS,Erechim,CENTENARIO
Cerrito,RS,Pelotas,CERRITO
Cerro Branco,RS,Cachoeira do Sul,CERRO BRANCO
Cerro Grande,RS,Palmeira das Missões,CERRO GRANDE
Cerro Grande do Sul,RS,Camaquã,CERRO GRANDE DO SUL
Cerro Largo,RS,Cerro Largo,CERRO LARGO
Chapada,RS,Carazinho,CHAPADA
Charqueadas,RS,Charqueadas - Triunfo - São Jerônimo,CHARQUEADAS
Charrua,RS,Tapejara - Sananduva,CHARRUA
Chiapetta,RS,Ijuí,CHIAPETTA
Chuí,RS,Pelotas,CHUI
Chuvisca,RS,Camaquã,CHUVISCA
Cidreira,RS,Tramandaí - Osório,CIDREIRA
Ciríaco,RS,Marau,CIRIACO
Colinas,RS,Lajeado,COLINAS
Colorado,RS,Carazinho,COLORADO
Condor,RS,Ijuí,CONDOR
Constantina,RS,Carazinho,CONSTANTINA
Coqueiro Baixo,RS,Lajeado,COQUEIRO BAIXO
Coqueiros do Sul,RS,Carazinho,COQUEIROS DO SUL
Coronel Barros,RS,Ijuí,CORONEL BARROS
Coronel Bicaco,RS,Ijuí,CORONEL BICACO
Coronel Pilar,RS,Bento Gonçalves,CORONEL PILAR
Cotiporã,RS,Bento Gonçalves,COTIPORA
Coxilha,RS,Passo Fundo,COXILHA
Crissiumal,RS,Três Passos,CRISSIUMAL
Cristal,RS,Camaquã,CRISTAL
Cristal do Sul,RS,Frederico Westphalen,CRISTAL DO SUL
Cruz Alta,RS,Cruz Alta,CRUZ ALTA
Cruzaltense,RS,Erechim,CRUZALTENSE
Cruzeiro do Sul,RS,Lajeado,CRUZEIRO DO SUL
David Canabarro,RS,Marau,DAVID CANABARRO
Derrubadas,RS,Três Passos,DERRUBADAS
Dezesseis de Novembro,RS,São Luiz Gonzaga,DEZESSEIS DE NOVEMBRO
Dilermando de Aguiar,RS,Santa Maria,DILERMANDO DE AGUIAR
Dois Irmãos,RS,Novo Hamburgo - São Leopoldo,DOIS IRMAOS
Dois Irmãos das Missões,RS,Palmeira das Missões,DOIS IRMAOS DAS MISSOES
Dois Lajeados,RS,Nova Prata - Guaporé,DOIS LAJEADOS
Dom Feliciano,RS,Camaquã,DOM FELICIANO
Dom Pedrito,RS,Bagé,DOM PEDRITO
Dom Pedro de Alcântara,RS,Torres,DOM PEDRO DE ALCANTARA
Dona Francisca,RS,Santa Maria,DONA FRANCISCA
Doutor Maurício Cardoso,RS,Três de Maio,DOUTOR MAURICIO CARDOSO
Doutor Ricardo,RS,Encantado,DOUTOR RICARDO
Eldorado do Sul,RS,Porto Alegre,ELDORADO DO SUL
Encantado,RS,Encantado,ENCANTADO
Encruzilhada do Sul,RS,Santa Cruz do Sul,ENCRUZILHADA DO SUL
Engenho Velho,RS,Carazinho,ENGENHO VELHO
Entre Rios do Sul,RS,Erechim,ENTRE RIOS DO SUL
Entre-Ijuís,RS,Santo Ângelo,ENTREIJUIS
Erebango,RS,Erechim,EREBANGO
Erechim,RS,Erechim,ERECHIM
Ernestina,RS,Passo Fundo,ERNESTINA
Erval Grande,RS,Erechim,ERVAL GRANDE
Erval Seco,RS,Frederico Westphalen,ERVAL SECO
Esmeralda,RS,Vacaria,ESMERALDA
Esperança do Sul,RS,Três Passos,ESPERANCA DO SUL
Espumoso,RS,Passo Fundo,ESPUMOSO
Estação,RS,Erechim,ESTACAO
Estância Velha,RS,Novo Hamburgo - São Leopoldo,ESTANCIA VELHA
Esteio,RS,Porto Alegre,ESTEIO
Estrela,RS,Lajeado,ESTRELA
Estrela Velha,RS,Sobradinho,ESTRELA VELHA
Eugênio de Castro,RS,Santo Ângelo,EUGENIO DE CASTRO
Fagundes Varela,RS,Bento Gonçalves,FAGUNDES VARELA
Farroupilha,RS,Caxias do Sul,FARROUPILHA
Faxinal do Soturno,RS,Santa Maria,FAXINAL DO SOTURNO
Faxinalzinho,RS,Erechim,FAXINALZINHO
Fazenda Vilanova,RS,Lajeado,FAZENDA VILANOVA
Feliz,RS,Caxias do Sul,FELIZ
Flores da Cunha,RS,Caxias do Sul,FLORES DA CUNHA
Floriano Peixoto,RS,Erechim,FLORIANO PEIXOTO
Fontoura Xavier,RS,Soledade,FONTOURA XAVIER
Formigueiro,RS,Santa Maria,FORMIGUEIRO
Forquetinha,RS,Lajeado,FORQUETINHA
Fortaleza dos Valos,RS,Cruz Alta,FORTALEZA DOS VALOS
Frederico Westphalen,RS,Frederico Westphalen,FREDERICO WESTPHALEN
Garibaldi,RS,Bento Gonçalves,GARIBALDI
Garruchos,RS,São Luiz Gonzaga,GARRUCHOS
Gaurama,RS,Erechim,GAURAMA
General Câmara,RS,Charqueadas - Triunfo - São Jerônimo,GENERAL CAMARA
Gentil,RS,Marau,GENTIL
Getúlio Vargas,RS,Erechim,GETULIO VARGAS
Giruá,RS,Santo Ângelo,GIRUA
Glorinha,RS,Porto Alegre,GLORINHA
Gramado,RS,Caxias do Sul,GRAMADO
Gramado dos Loureiros,RS,Nonoai,GRAMADO DOS LOUREIROS
Gramado Xavier,RS,Santa Cruz do Sul,GRAMADO XAVIER
Gravataí,RS,Porto Alegre,GRAVATAI
Guabiju,RS,Nova Prata - Guaporé,GUABIJU
Guaíba,RS,Porto Alegre,GUAIBA
Guaporé,RS,Nova Prata - Guaporé,GUAPORE
Guarani das Missões,RS,Santo Ângelo,GUARANI DAS MISSOES
Harmonia,RS,Novo Hamburgo - São Leopoldo,HARMONIA
Herval,RS,Pelotas,HERVAL
Herveiras,RS,Santa Cruz do Sul,HERVEIRAS
Horizontina,RS,Três de Maio,HORIZONTINA
Hulha Negra,RS,Bagé,HULHA NEGRA
Humaitá,RS,Três Passos,HUMAITA
Ibarama,RS,Sobradinho,IBARAMA
Ibiaçá,RS,Tapejara - Sananduva,IBIACA
Ibiraiaras,RS,Lagoa Vermelha,IBIRAIARAS
Ibirapuitã,RS,Soledade,IBIRAPUITA
Ibirubá,RS,Cruz Alta,IBIRUBA
Igrejinha,RS,Taquara - Parobé - Igrejinha,IGREJINHA
Ijuí,RS,Ijuí,IJUI
Ilópolis,RS,Encantado,ILOPOLIS
Imbé,RS,Tramandaí - Osório,IMBE
Imigrante,RS,Lajeado,IMIGRANTE
Independência,RS,Três de Maio,INDEPENDENCIA
Inhacorá,RS,Ijuí,INHACORA
Ipê,RS,Caxias do Sul,IPE
Ipiranga do Sul,RS,Erechim,IPIRANGA DO SUL
Iraí,RS,Frederico Westphalen,IRAI
Itaara,RS,Santa Maria,ITAARA
Itacurubi,RS,Santiago,ITACURUBI
Itapuca,RS,Soledade,ITAPUCA
Itaqui,RS,São Borja,ITAQUI
Itati,RS,Tramandaí - Osório,ITATI
Itatiba do Sul,RS,Erechim,ITATIBA DO SUL
Ivorá,RS,Santa Maria,IVORA
Ivoti,RS,Novo Hamburgo - São Leopoldo,IVOTI
Jaboticaba,RS,Frederico Westphalen,JABOTICABA
Jacuizinho,RS,Cruz Alta,JACUIZINHO
Jacutinga,RS,Erechim,JACUTINGA
Jaguarão,RS,Pelotas,JAGUARAO
Jaguari,RS,Santa Maria,JAGUARI
Jaquirana,RS,Vacaria,JAQUIRANA
Jari,RS,Santa Maria,JARI
Jóia,RS,Ijuí,JOIA
Júlio de Castilhos,RS,Santa Maria,JULIO DE CASTILHOS
Lagoa Bonita do Sul,RS,Sobradinho,LAGOA BONITA DO SUL
Lagoa dos Três Cantos,RS,Passo Fundo,LAGOA DOS TRES CANTOS
Lagoa Vermelha,RS,Lagoa Vermelha,LAGOA VERMELHA
Lagoão,RS,Sobradinho,LAGOAO
Lajeado,RS,Lajeado,LAJEADO
Lajeado do Bugre,RS,Palmeira das Missões,LAJEADO DO BUGRE
Lavras do Sul,RS,São Gabriel - Caçapava do Sul,LAVRAS DO SUL
Liberato Salzano,RS,Frederico Westphalen,LIBERATO SALZANO
Lindolfo Collor,RS,Novo Hamburgo - São Leopoldo,LINDOLFO COLLOR
Linha Nova,RS,Novo Hamburgo - São Leopoldo,LINHA NOVA
Maçambará,RS,São Borja,MACAMBARA
Machadinho,RS,Lagoa Vermelha,MACHADINHO
Mampituba,RS,Torres,MAMPITUBA
Manoel Viana,RS,Uruguaiana,MANOEL VIANA
Maquiné,RS,Tramandaí - Osório,MAQUINE
Maratá,RS,Montenegro,MARATA
Marau,RS,Marau,MARAU
Marcelino Ramos,RS,Erechim,MARCELINO RAMOS
Mariana Pimentel,RS,Porto Alegre,MARIANA PIMENTEL
Mariano Moro,RS,Erechim,MARIANO MORO
Marques de Souza,RS,Lajeado,MARQUES DE SOUZA
Mata,RS,Santa Maria,MATA
Mato Castelhano,RS,Passo Fundo,MATO CASTELHANO
Mato Leitão,RS,Santa Cruz do Sul,MATO LEITAO
Mato Queimado,RS,Cerro Largo,MATO QUEIMADO
Maximiliano de Almeida,RS,Tapejara - Sananduva,MAXIMILIANO DE ALMEIDA
Minas do Leão,RS,Charqueadas - Triunfo - São Jerônimo,MINAS DO LEAO
Miraguaí,RS,Três Passos,MIRAGUAI
Montauri,RS,Nova Prata - Guaporé,MONTAURI
Monte Alegre dos Campos,RS,Vacaria,MONTE ALEGRE DOS CAMPOS
Monte Belo do Sul,RS,Bento Gonçalves,MONTE BELO DO SUL
Montenegro,RS,Montenegro,MONTENEGRO
Mormaço,RS,Soledade,MORMACO
Morrinhos do Sul,RS,Torres,MORRINHOS DO SUL
Morro Redondo,RS,Pelotas,MORRO REDONDO
Morro Reuter,RS,Novo Hamburgo - São Leopoldo,MORRO REUTER
Mostardas,RS,Porto Alegre,MOSTARDAS
Muçum,RS,Encantado,MUCUM
Muitos Capões,RS,Vacaria,MUITOS CAPOES
Muliterno,RS,Marau,MULITERNO
Não-Me-Toque,RS,Carazinho,NAOMETOQUE
Nicolau Vergueiro,RS,Passo Fundo,NICOLAU VERGUEIRO
Nonoai,RS,Nonoai,NONOAI
Nova Alvorada,RS,Marau,NOVA ALVORADA
Nova Araçá,RS,Nova Prata - Guaporé,NOVA ARACA
Nova Bassano,RS,Nova Prata - Guaporé,NOVA BASSANO
Nova Boa Vista,RS,Carazinho,NOVA BOA VISTA
Nova Bréscia,RS,Encantado,NOVA BRESCIA
Nova Candelária,RS,Três de Maio,NOVA CANDELARIA
Nova Esperança do Sul,RS,Santiago,NOVA ESPERANCA DO SUL
Nova Hartz,RS,Novo Hamburgo - São Leopoldo,NOVA HARTZ
Nova Pádua,RS,Caxias do Sul,NOVA PADUA
Nova Palma,RS,Santa Maria,NOVA PALMA
Nova Petrópolis,RS,Caxias do Sul,NOVA PETROPOLIS
Nova Prata,RS,Nova Prata - Guaporé,NOVA PRATA
Nova Ramada,RS,Ijuí,NOVA RAMADA
Nova Roma do Sul,RS,Caxias do Sul,NOVA ROMA DO SUL
Nova Santa Rita,RS,Porto Alegre,NOVA SANTA RITA
Novo Barreiro,RS,Palmeira das Missões,NOVO BARREIRO
Novo Cabrais,RS,Cachoeira do Sul,NOVO CABRAIS
Novo Hamburgo,RS,Novo Hamburgo - São Leopoldo,NOVO HAMBURGO
Novo Machado,RS,Santa Rosa,NOVO MACHADO
Novo Tiradentes,RS,Frederico Westphalen,NOVO TIRADENTES
Novo Xingu,RS,Carazinho,NOVO XINGU
Osório,RS,Tramandaí - Osório,OSORIO
Paim Filho,RS,Tapejara - Sananduva,PAIM FILHO
Palmares do Sul,RS,Porto Alegre,PALMARES DO SUL
Palmeira das Missões,RS,Palmeira das Missões,PALMEIRA DAS MISSOES
Palmitinho,RS,Frederico Westphalen,PALMITINHO
Panambi,RS,Ijuí,PANAMBI
Pantano Grande,RS,Santa Cruz do Sul,PANTANO GRANDE
Paraí,RS,Nova Prata - Guaporé,PARAI
Paraíso do Sul,RS,Cachoeira do Sul,PARAISO DO SUL
Pareci Novo,RS,Montenegro,PARECI NOVO
Parobé,RS,Taquara - Parobé - Igrejinha,PAROBE
Passa Sete,RS,Sobradinho,PASSA SETE
Passo do Sobrado,RS,Santa Cruz do Sul,PASSO DO SOBRADO
Passo Fundo,RS,Passo Fundo,PASSO FUNDO
Paulo Bento,RS,Erechim,PAULO BENTO
Paverama,RS,Lajeado,PAVERAMA
Pedras Altas,RS,Bagé,PEDRAS ALTAS
Pedro Osório,RS,Pelotas,PEDRO OSORIO
Pejuçara,RS,Ijuí,PEJUCARA
Pelotas,RS,Pelotas,PELOTAS
Picada Café,RS,Caxias do Sul,PICADA CAFE
Pinhal,RS,Frederico Westphalen,PINHAL
Pinhal da Serra,RS,Vacaria,PINHAL DA SERRA
Pinhal Grande,RS,Santa Maria,PINHAL GRANDE
Pinheirinho do Vale,RS,Frederico Westphalen,PINHEIRINHO DO VALE
Pinheiro Machado,RS,Bagé,PINHEIRO MACHADO
Pinto Bandeira,RS,Bento Gonçalves,PINTO BANDEIRA
Pirapó,RS,São Luiz Gonzaga,PIRAPO
Piratini,RS,Pelotas,PIRATINI
Planalto,RS,Nonoai,PLANALTO
Poço das Antas,RS,Lajeado,POCO DAS ANTAS
Pontão,RS,Passo Fundo,PONTAO
Ponte Preta,RS,Erechim,PONTE PRETA
Portão,RS,Novo Hamburgo - São Leopoldo,PORTAO
Porto Alegre,RS,Porto Alegre,PORTO ALEGRE
Porto Lucena,RS,Santa Rosa,PORTO LUCENA
Porto Mauá,RS,Santa Rosa,PORTO MAUA
Porto Vera Cruz,RS,Santa Rosa,PORTO VERA CRUZ
Porto Xavier,RS,Cerro Largo,PORTO XAVIER
Pouso Novo,RS,Lajeado,POUSO NOVO
Presidente Lucena,RS,Novo Hamburgo - São Leopoldo,PRESIDENTE LUCENA
Progresso,RS,Lajeado,PROGRESSO
Protásio Alves,RS,Nova Prata - Guaporé,PROTASIO ALVES
Putinga,RS,Encantado,PUTINGA
Quaraí,RS,Santana do Livramento,QUARAI
Quatro Irmãos,RS,Erechim,QUATRO IRMAOS
Quevedos,RS,Santa Maria,QUEVEDOS
Quinze de Novembro,RS,Cruz Alta,QUINZE DE NOVEMBRO
Redentora,RS,Três Passos,REDENTORA
Relvado,RS,Encantado,RELVADO
Restinga Sêca,RS,Santa Maria,RESTINGA SECA
Rio dos Índios,RS,Nonoai,RIO DOS INDIOS
Rio Grande,RS,Pelotas,RIO GRANDE
Rio Pardo,RS,Santa Cruz do Sul,RIO PARDO
Riozinho,RS,Taquara - Parobé - Igrejinha,RIOZINHO
Roca Sales,RS,Encantado,ROCA SALES
Rodeio Bonito,RS,Frederico Westphalen,RODEIO BONITO
Rolador,RS,São Luiz Gonzaga,ROLADOR
Rolante,RS,Taquara - Parobé - Igrejinha,ROLANTE
Ronda Alta,RS,Passo Fundo,RONDA ALTA
Rondinha,RS,Carazinho,RONDINHA
Roque Gonzales,RS,Cerro Largo,ROQUE GONZALES
Rosário do Sul,RS,Santana do Livramento,ROSARIO DO SUL
Sagrada Família,RS,Palmeira das Missões,SAGRADA FAMILIA
Saldanha Marinho,RS,Carazinho,SALDANHA MARINHO
Salto do Jacuí,RS,Cruz Alta,SALTO DO JACUI
Salvador das Missões,RS,Cerro Largo,SALVADOR DAS MISSOES
Salvador do Sul,RS,Montenegro,SALVADOR DO SUL
Sananduva,RS,Tapejara - Sananduva,SANANDUVA
Santa Bárbara do Sul,RS,Cruz Alta,SANTA BARBARA DO SUL
Santa Cecília do Sul,RS,Tapejara - Sananduva,SANTA CECILIA DO SUL
Santa Clara do Sul,RS,Lajeado,SANTA CLARA DO SUL
Santa Cruz do Sul,RS,Santa Cruz do Sul,SANTA CRUZ DO SUL
Santa Margarida do Sul,RS,São Gabriel - Caçapava do Sul,SANTA MARGARIDA DO SUL
Santa Maria,RS,Santa Maria,SANTA MARIA
Santa Maria do Herval,RS,Novo Hamburgo - São Leopoldo,SANTA MARIA DO HERVAL
Santa Rosa,RS,Santa Rosa,SANTA ROSA
Santa Tereza,RS,Bento Gonçalves,SANTA TEREZA
Santa Vitória do Palmar,RS,Pelotas,SANTA VITORIA DO PALMAR
Santana da Boa Vista,RS,São Gabriel - Caçapava do Sul,SANTANA DA BOA VISTA
Sant'Ana do Livramento,RS,Santana do Livramento,SANTANA DO LIVRAMENTO
Santiago,RS,Santiago,SANTIAGO
Santo Ângelo,RS,Santo Ângelo,SANTO ANGELO
Santo Antônio da Patrulha,RS,Porto Alegre,SANTO ANTONIO DA PATRULHA
Santo Antônio das Missões,RS,São Luiz Gonzaga,SANTO ANTONIO DAS MISSOES
Santo Antônio do Palma,RS,Marau,SANTO ANTONIO DO PALMA
Santo Antônio do Planalto,RS,Carazinho,SANTO ANTONIO DO PLANALTO
Santo Augusto,RS,Ijuí,SANTO AUGUSTO
Santo Cristo,RS,Santa Rosa,SANTO CRISTO
Santo Expedito do Sul,RS,Tapejara - Sananduva,SANTO EXPEDITO DO SUL
São Borja,RS,São Borja,SAO BORJA
São Domingos do Sul,RS,Marau,SAO DOMINGOS DO SUL
São Francisco de Assis,RS,Santa Maria,SAO FRANCISCO DE ASSIS
São Francisco de Paula,RS,Caxias do Sul,SAO FRANCISCO DE PAULA
São Gabriel,RS,São Gabriel - Caçapava do Sul,SAO GABRIEL
São Jerônimo,RS,Charqueadas - Triunfo - São Jerônimo,SAO JERONIMO
São João da Urtiga,RS,Tapejara - Sananduva,SAO JOAO DA URTIGA
São João do Polêsine,RS,Santa Maria,SAO JOAO DO POLESINE
São Jorge,RS,Nova Prata - Guaporé,SAO JORGE
São José das Missões,RS,Palmeira das Missões,SAO JOSE DAS MISSOES
São José do Herval,RS,Soledade,SAO JOSE DO HERVAL
São José do Hortêncio,RS,Novo Hamburgo - São Leopoldo,SAO JOSE DO HORTENCIO
São José do Inhacorá,RS,Três de Maio,SAO JOSE DO INHACORA
São José do Norte,RS,Pelotas,SAO JOSE DO NORTE
São José do Ouro,RS,Lagoa Vermelha,SAO JOSE DO OURO
São José do Sul,RS,Montenegro,SAO JOSE DO SUL
São José dos Ausentes,RS,Vacaria,SAO JOSE DOS AUSENTES
São Leopoldo,RS,Novo Hamburgo - São Leopoldo,SAO LEOPOLDO
São Lourenço do Sul,RS,Pelotas,SAO LOURENCO DO SUL
São Luiz Gonzaga,RS,São Luiz Gonzaga,SAO LUIZ GONZAGA
São Marcos,RS,Caxias do Sul,SAO MARCOS
São Martinho,RS,Três Passos,SAO MARTINHO
São Martinho da Serra,RS,Santa Maria,SAO MARTINHO DA SERRA
São Miguel das Missões,RS,Santo Ângelo,SAO MIGUEL DAS MISSOES
São Nicolau,RS,São Luiz Gonzaga,SAO NICOLAU
São Paulo das Missões,RS,Cerro Largo,SAO PAULO DAS MISSOES
São Pedro da Serra,RS,Montenegro,SAO PEDRO DA SERRA
